tweet_id,created_at
1865622340585021813,2024-12-08 05:00:02
1865370927833448919,2024-12-07 12:21:00
1864855473964618223,2024-12-06 02:12:46
1864604443305758880,2024-12-05 09:35:16
1864571878188437817,2024-12-05 07:25:52
1864283271791824918,2024-12-04 12:19:03
1863912443279511784,2024-12-03 11:45:30
1863790379914670260,2024-12-03 03:40:28
1863743677803401363,2024-12-03 00:34:54
1863575972945215664,2024-12-02 13:28:30
1863508536325755261,2024-12-02 09:00:32
1862830659489955968,2024-11-30 12:06:53
1862666959793660229,2024-11-30 01:16:24
1862511802548199426,2024-11-29 14:59:52
1862076544786772351,2024-11-28 10:10:18
1861932305201369533,2024-11-28 00:37:09
1861680518284362028,2024-11-27 07:56:38
1861606864972325090,2024-11-27 03:03:58
1861606824983830740,2024-11-27 03:03:48
1861409584994492811,2024-11-26 14:00:03
1861381459745087667,2024-11-26 12:08:17
1861068615552000011,2024-11-25 15:25:09
1861057770088435826,2024-11-25 14:42:03
1860860456208040327,2024-11-25 01:38:00
1860315087476764683,2024-11-23 13:30:54
1860196496249061463,2024-11-23 05:39:40
1860132465941381137,2024-11-23 01:25:14
1859843396317347932,2024-11-22 06:16:34
1859759355190706286,2024-11-22 00:42:37
1859734906659799274,2024-11-21 23:05:28
1859507383065772059,2024-11-21 08:01:22
1859467421184049619,2024-11-21 05:22:35
1859212621838483929,2024-11-20 12:30:06
1859192678921257456,2024-11-20 11:10:51
1859154526273679467,2024-11-20 08:39:15
1859087122663436456,2024-11-20 04:11:24
1859001704190275617,2024-11-19 22:31:59
1859001672422617213,2024-11-19 22:31:51
